SOCName,Employer Name,Number of Records,Median National Wage,Median Prevailing Wage,Median Wage Difference,Total Employment,Foreign to National Ratio,Percentage of Total Applicants
Accountants and Auditors,KPMG LLP,120,62850,49900,-12950,1085150,0.000110584,0.000929066
Accountants_and_Auditors,PK LLP,5,62850,42328,-20522,1085150,4.61E-06,3.87E-05
Accountants_and_Auditors,SKAGWAY JEWELRY CO LLC,5,62850,42369.6,-20480.4,1085150,4.61E-06,3.87E-05
Accountants_and_Auditors,"ASK TAX, INC.",6,62850,46218,-16632,1085150,5.53E-06,4.65E-05
Accountants_and_Auditors,"ASSI PLAZA PA., INC.",6,62850,46218,-16632,1085150,5.53E-06,4.65E-05
Accountants_and_Auditors,"LUCKY HOSPITALITY, INC.",6,62850,34382.4,-28467.6,1085150,5.53E-06,4.65E-05
Accountants_and_Auditors,"NADADUR VARDHAN, INC.",6,62850,43410,-19440,1085150,5.53E-06,4.65E-05
Accountants_and_Auditors,"GOLDMAN, SACHS & CO.",12,62850,62982,132,1085150,1.11E-05,9.29E-05
Accountants_and_Auditors,WIPRO LIMITED,20,62850,57023.5,-5826.5,1085150,1.84E-05,0.000154844
Computer_Occupations_All_Other,MINDTREE LIMITED,5,79930,52874,-27056,177630,2.81E-05,3.87E-05
Computer_Occupations_All_Other,HEADSTRONG SERVICES LLC,6,79930,61287,-18643,177630,3.38E-05,4.65E-05
Computer_Occupations_All_Other,VST CONSULTING INC,6,79930,43347,-36583,177630,3.38E-05,4.65E-05
Computer_Occupations_All_Other,OTIS IT INC,7,79930,51314,-28616,177630,3.94E-05,5.42E-05
Computer_Occupations_All_Other,"MASTEREX TECHNOLOGIES, INC.",7,79930,48027,-31903,177630,3.94E-05,5.42E-05
Computer_Occupations_All_Other,"SYNECHRON, INC.",13,79930,64064,-15866,177630,7.32E-05,0.000100649
Computer_Occupations_All_Other,INDOTRONIX INTERNATIONAL CORPORATION,15,79930,43555,-36375,177630,8.44E-05,0.000116133
Computer_Occupations_All_Other,"TECH MAHINDRA (AMERICAS), INC.",30,79930,57907,-22023,177630,0.00016889,0.000232266
Computer_Occupations_All_Other,LARSEN & TOUBRO INFOTECH LIMITED,185,79930,51314,-28616,177630,0.001041491,0.00143231
Computer_Occupations_All_Other,TATA CONSULTANCY SERVICES LIMITED,305,79930,59363,-20567,177630,0.001717052,0.002361376
Computer_Programmers,"V-SOFT CONSULTING GROUP, INC",318,72630,50419,-22211,320100,0.00099344,0.002462024
Computer_Programmers,UST GLOBAL INC.,335,72630,50128,-22502,320100,0.001046548,0.002593642
Computer_Programmers,ACCENTURE LLP,350,72630,64386.5,-8243.5,320100,0.001093408,0.002709775
Computer_Programmers,LARSEN & TOUBRO INFOTECH LIMITED,352,72630,50440,-22190,320100,0.001099656,0.00272526
Computer_Programmers,"HCL AMERICA, INC.",391,72630,50752,-21878,320100,0.001221493,0.003027206
Computer_Programmers,IBM INDIA PRIVATE LIMITED,411,72630,63024,-9606,320100,0.001283974,0.00318205
Computer_Programmers,"MARLABS, INC",459,72630,65582,-7048,320100,0.001433927,0.003553677
Computer_Programmers,WIPRO LIMITED,530,72630,66019,-6611,320100,0.001655733,0.004103374
Computer_Programmers,INFOSYS TECHNOLOGIES LIMITED,799,72630,52395,-20235,320100,0.002496095,0.00618603
Computer_Programmers,TATA CONSULTANCY SERVICES LIMITED,2545,72630,58157,-14473,320100,0.00795064,0.019703938
Computer_Systems_Analysts,"COMPUNNEL SOFTWARE GROUP, INC.",201,78770,55661,-23109,487740,0.000412105,0.001556185
Computer_Systems_Analysts,SATYAM COMPUTER SERVICES LIMITED,210,78770,65707,-13063,487740,0.000430557,0.001625865
Computer_Systems_Analysts,INFOSYS TECHNOLOGIES LIMITED,233,78770,67704,-11066,487740,0.000477714,0.001803936
Computer_Systems_Analysts,"HEXAWARE TECHNOLOGIES, INC.",245,78770,58053,-20717,487740,0.000502317,0.001896843
Computer_Systems_Analysts,DELOITTE CONSULTING LLP,246,78770,60174.5,-18595.5,487740,0.000504367,0.001904585
Computer_Systems_Analysts,MPHASIS CORPORATION,249,78770,61526,-17244,487740,0.000510518,0.001927812
Computer_Systems_Analysts,SATYAM COMPUTER SERVICES LTD.,267,78770,74235,-4535,487740,0.000547423,0.002067171
Computer_Systems_Analysts,UST GLOBAL INC.,716,78770,55827,-22943,487740,0.001467995,0.005543426
Computer_Systems_Analysts,"HCL AMERICA, INC.",743,78770,58157,-20613,487740,0.001523353,0.005752466
Computer_Systems_Analysts,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,1598,78770,57762,-21008,487740,0.003276336,0.01237206
Database_Administrators,INTONE NETWORKS INC,14,75190,53030,-22160,108500,0.000129032,0.000108391
Database_Administrators,"ITECH US, INC.",15,75190,69285,-5905,108500,0.000138249,0.000116133
Database_Administrators,"YASH SOLUTIONS, LLC",16,75190,49992.5,-25197.5,108500,0.000147465,0.000123875
Database_Administrators,SATYAM COMPUTER SERVICES LTD.,18,75190,68890,-6300,108500,0.000165899,0.00013936
Database_Administrators,CYBERTHINK INC,23,75190,53539,-21651,108500,0.000211982,0.000178071
Database_Administrators,WIPRO LIMITED,33,75190,64355,-10835,108500,0.000304147,0.000255493
Database_Administrators,TATA CONSULTANCY SERVICES LIMITED,38,75190,57616,-17574,108500,0.00035023,0.000294204
Database_Administrators,SREE INFOTECH LLC,41,75190,49816,-25374,108500,0.00037788,0.000317431
Database_Administrators,"FUJITSU AMERICA, INC.",54,75190,71583,-3607,108500,0.000497696,0.00041808
Database_Administrators,"HCL AMERICA, INC.",56,75190,53456,-21734,108500,0.000516129,0.000433564
Electrical_Engineers,CUMMINS INC.,5,85920,51875,-34045,154250,3.24E-05,3.87E-05
Electrical_Engineers,PHILIPS ELECTRONICS NORTH AMERICA CORPORATION,5,85920,60008,-25912,154250,3.24E-05,3.87E-05
Electrical_Engineers,"XILINX, INC.",5,85920,86068,148,154250,3.24E-05,3.87E-05
Electrical_Engineers,UNIVERSITY OF MARYLAND COLLEGE PARK,5,85920,37690,-48230,154250,3.24E-05,3.87E-05
Electrical_Engineers,ALSTOM GRID INC.,8,85920,63877,-22043,154250,5.19E-05,6.19E-05
Electrical_Engineers,"ROCKWELL COLLINS, INC.",10,85920,56930,-28990,154250,6.48E-05,7.74E-05
Electronics_Engineers_Except_Computer,LINEAR TECHNOLOGY CORPORATION,6,91500,72665,-18835,136310,4.40E-05,4.65E-05
Electronics_Engineers_Except_Computer,"MOTOROLA, INC.",8,91500,73029,-18471,136310,5.87E-05,6.19E-05
Electronics_Engineers_Except_Computer,"MOTOROLA MOBILITY, INC.",9,91500,83907,-7593,136310,6.60E-05,6.97E-05
Electronics_Engineers_Except_Computer,"NAVISTAR, INC.",9,91500,76773,-14727,136310,6.60E-05,6.97E-05
Electronics_Engineers_Except_Computer,"MARVELL SEMICONDUCTOR, INC.",12,91500,74110.4,-17389.6,136310,8.80E-05,9.29E-05
Electronics_Engineers_Except_Computer,TEXAS INSTRUMENTS INCORPORATED,12,91500,92539,1039,136310,8.80E-05,9.29E-05
Electronics_Engineers_Except_Computer,SANDISK CORPORATION,13,91500,74110,-17390,136310,9.54E-05,0.000100649
Electronics_Engineers_Except_Computer,"CIRRUS LOGIC, INC.",18,91500,71282,-20218,136310,0.000132052,0.00013936
Electronics_Engineers_Except_Computer,INTEL CORPORATION,23,91500,82420,-9080,136310,0.000168733,0.000178071
Electronics_Engineers_Except_Computer,"MOTOROLA SOLUTIONS, INC.",26,91500,74208,-17292,136310,0.000190742,0.000201298
Financial_Analysts,"BLACKROCK FINANCIAL MANAGEMENT, INC.",25,75650,61942,-13708,226340,0.000110453,0.000193555
Financial_Analysts,MERRILL LYNCH,34,75650,62566,-13084,226340,0.000150216,0.000263235
Financial_Analysts,KPMG LLP,37,75650,61942,-13708,226340,0.000163471,0.000286462
Financial_Analysts,MORGAN STANLEY & CO. LLC,39,75650,86965,11315,226340,0.000172307,0.000301946
Financial_Analysts,JPMORGAN CHASE & CO.,47,75650,61942,-13708,226340,0.000207652,0.000363884
Financial_Analysts,CREDIT SUISSE SECURITIES (USA) LLC,60,75650,86965,11315,226340,0.000265088,0.000464533
Financial_Analysts,DEUTSCHE BANK SECURITIES INC.,78,75650,62566,-13084,226340,0.000344614,0.000603893
Financial_Analysts,"GOLDMAN, SACHS & CO.",104,75650,61942,-13708,226340,0.000459486,0.00080519
Financial_Analysts,MORGAN STANLEY & CO. INC.,105,75650,61942,-13708,226340,0.000463904,0.000812933
Financial_Analysts,DELOITTE CONSULTING LLP,432,75650,63086,-12564,226340,0.001908633,0.003344637
Management_Analysts,"GOLDMAN, SACHS & CO.",37,78490,37294,-41196,538950,6.87E-05,0.000286462
Management_Analysts,LARSEN & TOUBRO INFOTECH LIMITED,39,78490,53914,-24576,538950,7.24E-05,0.000301946
Management_Analysts,"A.T. KEARNEY, INC.",46,78490,112050,33560,538950,8.54E-05,0.000356142
Management_Analysts,"FUJITSU AMERICA, INC.",50,78490,69169,-9321,538950,9.28E-05,0.000387111
Management_Analysts,ERNST & YOUNG U.S. LLP,55,78490,78686,196,538950,0.00010205,0.000425822
Management_Analysts,SATYAM COMPUTER SERVICES LTD.,77,78490,70658,-7832,538950,0.00014287,0.000596151
Management_Analysts,"THE BOSTON CONSULTING GROUP, INC.",77,78490,99050,20560,538950,0.00014287,0.000596151
Management_Analysts,"HCL AMERICA, INC.",97,78490,56909,-21581,538950,0.00017998,0.000750995
Management_Analysts,DELOITTE CONSULTING LLP,111,78490,60882,-17608,538950,0.000205956,0.000859386
Management_Analysts,IBM CORPORATION,248,78490,55910,-22580,538950,0.000460154,0.001920069
Mechanical_Engineers,MAHINDRA ENGINEERING SERVICES LTD,12,79230,53289.5,-25940.5,238260,5.04E-05,9.29E-05
Mechanical_Engineers,"BELCAN ENGINEERING GROUP, INC.",13,79230,54038,-25192,238260,5.46E-05,0.000100649
Mechanical_Engineers,"MINDWARE ENGINEERING, INC.",13,79230,65122.82,-14107.18,238260,5.46E-05,0.000100649
Mechanical_Engineers,"QUEST GLOBAL SERVICES-NA, INC.",13,79230,59363,-19867,238260,5.46E-05,0.000100649
Mechanical_Engineers,CUMMINS INC.,24,79230,54995,-24235,238260,0.00010073,0.000185813
Mechanical_Engineers,ADVANCED CAD/CAM SERVICE,29,79230,54038,-25192,238260,0.000121716,0.000224524
Mechanical_Engineers,"INFOTECH ENTERPRISES AMERICA, INC.",31,79230,60237,-18993,238260,0.00013011,0.000240009
Mechanical_Engineers,"CSM SOFTWARE USA, LLC.",32,79230,58198,-21032,238260,0.000134307,0.000247751
Mechanical_Engineers,"GEOMETRIC AMERICAS, INC",45,79230,54038,-25192,238260,0.000188869,0.0003484
Mechanical_Engineers,"AXIS, INC.",64,79230,55598,-23632,238260,0.000268614,0.000495502
Network_and_Computer_Systems_Administrators,SATYAM COMPUTER SERVICES LIMITED,5,70970,64397,-6573,341800,1.46E-05,3.87E-05
Network_and_Computer_Systems_Administrators,"TECH MAHINDRA (AMERICAS), INC.",6,70970,59564.5,-11405.5,341800,1.76E-05,4.65E-05
Network_and_Computer_Systems_Administrators,CYBERTHINK INC,6,70970,54818,-16152,341800,1.76E-05,4.65E-05
Network_and_Computer_Systems_Administrators,ERICSSON INC.,6,70970,56025,-14945,341800,1.76E-05,4.65E-05
Network_and_Computer_Systems_Administrators,"ITECH US, INC.",8,70970,65166.5,-5803.5,341800,2.34E-05,6.19E-05
Network_and_Computer_Systems_Administrators,"YASH SOLUTIONS, LLC",10,70970,51792,-19178,341800,2.93E-05,7.74E-05
Network_and_Computer_Systems_Administrators,"INDU, LLC",11,70970,52416,-18554,341800,3.22E-05,8.52E-05
Network_and_Computer_Systems_Administrators,"HCL AMERICA, INC.",12,70970,55681.5,-15288.5,341800,3.51E-05,9.29E-05
Network_and_Computer_Systems_Administrators,"PREMIER IT SOLUTIONS, INC",16,70970,49546,-21424,341800,4.68E-05,0.000123875
Network_and_Computer_Systems_Administrators,WIPRO LIMITED,81,70970,62504,-8466,341800,0.000236981,0.000627119
Operations_Research_Analysts,NIIT TECHNOLOGIES LIMITED,8,71950,41995,-29955,65030,0.00012302,6.19E-05
Operations_Research_Analysts,MORGAN STANLEY & CO. INC.,9,71950,80059,8109,65030,0.000138398,6.97E-05
Operations_Research_Analysts,DB SERVICING CORPORATION,11,71950,84240,12290,65030,0.000169153,8.52E-05
Operations_Research_Analysts,INDUCTIS LLC,12,71950,56950,-15000,65030,0.00018453,9.29E-05
Operations_Research_Analysts,KFORCE INC.,13,71950,49233.6,-22716.4,65030,0.000199908,0.000100649
Operations_Research_Analysts,CREDIT SUISSE SECURITIES (USA) LLC,16,71950,80059,8109,65030,0.00024604,0.000123875
Operations_Research_Analysts,DISCOVER PRODUCTS INC.,21,71950,84240,12290,65030,0.000322928,0.000162587
