SOCName,Employer Name,Number of Records,Mean National Wage,Mean Prevailing Wage,Median National Wage,Median Prevailing Wage
Accountants_and_Auditors,ERNST & YOUNG U.S. LLP,190,73670,62835.82105,65940,61110
Accountants_and_Auditors,KPMG LLP,458,73670,54734.56856,65940,52100
Accountants_and_Auditors,"PRICEWATERHOUSECOOPERS, LLP",222,73670,957498.0541,65940,53498
Accountants_and_Auditors,"GOLDMAN, SACHS & CO.",46,73670,62112.21739,65940,60611
Accountants_and_Auditors,JPMORGAN CHASE & CO.,38,73670,63132.47368,65940,65208
Accountants_and_Auditors,"CROSSCOUNTRY CONSULTING, LLC",42,73670,63161.61905,65940,62462
Accountants_and_Auditors,"THE CHUGH FIRM, AAC",22,73670,54042.18182,65940,51605
Accountants_and_Auditors,HOTTA LIESENBERG SAITO LLP,20,73670,50475.5,65940,51012
Accountants_and_Auditors,"NADADUR VARDHAN, INC",20,73670,46696,65940,46696
Accountants_and_Auditors,"TRIANGLE ACCOUNTING, INC.",18,73670,49044.22222,65940,47424
Computer_Occupations_All_Other,INFOSYS LIMITED,1019,85520,65365.30324,83410,63877
Computer_Occupations_All_Other,TATA CONSULTANCY SERVICES LIMITED,915,85520,61937.73661,83410,62566
Computer_Occupations_All_Other,WIPRO LIMITED,2877,85520,69408.93743,83410,67642
Computer_Occupations_All_Other,IGATE TECHNOLOGIES INC.,399,85520,66262.38596,83410,64314
Computer_Occupations_All_Other,LARSEN & TOUBRO INFOTECH LIMITED,543,85520,55509.83057,83410,56909
Computer_Occupations_All_Other,"TECH MAHINDRA (AMERICAS), INC.",214,85520,772777.1121,83410,69056
Computer_Occupations_All_Other,TECH MAHINDRA (AMERICAS) INC.,134,85520,67683.80597,83410,67350
Computer_Occupations_All_Other,"TECH MAHINDRA ( AMERICAS), INC",115,85520,69762.31304,83410,69056
Computer_Occupations_All_Other,"SYNECHRON, INC.",101,85520,71169.39604,83410,69389
Computer_Occupations_All_Other,L&T TECHNOLOGY SERVICES LIMITED,109,85520,53399.77064,83410,52458
Computer_Programmers,INFOSYS LIMITED,2460,82690,52643.2322,77550,51210
Computer_Programmers,TATA CONSULTANCY SERVICES LIMITED,5754,82690,98692.50647,77550,61339
Computer_Programmers,WIPRO LIMITED,1623,82690,71894.84843,77550,70179
Computer_Programmers,IGATE TECHNOLOGIES INC.,1015,82690,65601.93202,77550,65666
Computer_Programmers,LARSEN & TOUBRO INFOTECH LIMITED,841,82690,54537.87515,77550,54122
Computer_Programmers,ACCENTURE LLP,1181,82690,67417.83319,77550,65416
Computer_Programmers,"TECH MAHINDRA (AMERICAS), INC.",512,82690,69507.48242,77550,69503
Computer_Programmers,IBM INDIA PRIVATE LIMITED,1060,82690,72427.8066,77550,64667
Computer_Programmers,"V-SOFT CONSULTING GROUP, INC",383,82690,51313.09922,77550,50565
Computer_Programmers,AMERICAN INFORMATION TECHNOLOGY CORPORATION,440,82690,273891.5682,77550,45282
Computer_Systems_Analysts,INFOSYS LIMITED,12616,87320,68675.67517,82710,68162
Computer_Systems_Analysts,TATA CONSULTANCY SERVICES LIMITED,535,87320,64045.26355,82710,63107
Computer_Systems_Analysts,DELOITTE CONSULTING LLP,1639,87320,67842.70958,82710,66602
Computer_Systems_Analysts,IGATE TECHNOLOGIES INC.,404,87320,70995.87129,82710,70803
Computer_Systems_Analysts,"TECH MAHINDRA (AMERICAS), INC.",455,87320,70483.90549,82710,70845
Computer_Systems_Analysts,"NTT DATA, INC.",453,87320,81060.98013,82710,79643
Computer_Systems_Analysts,UST GLOBAL INC,611,87320,58042.24714,82710,59280
Computer_Systems_Analysts,"HEXAWARE TECHNOLOGIES, INC.",568,87320,61366.05282,82710,60580
Computer_Systems_Analysts,MPHASIS CORPORATION,333,87320,65008.57357,82710,62088
